t_ms,mode,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
4660,barefoot,226,529,1924,339,418,89,15,16,0.9867,0.0298,0.002,-0.0172,-0.067,0.926,9.282
4680,barefoot,95,298,1998,601,683,171,14,10,1.0061,-0.0102,0.0115,0.0434,1.103,0.749,9.501
4700,barefoot,37,124,1885,966,1073,318,27,11,0.9942,-0.006,-0.0292,0.0039,1.377,-1.229,8.086
4720,barefoot,22,61,1640,1389,1463,527,18,12,0.9907,0.0131,-0.0057,0.0237,-0.904,0.088,9.476
4740,barefoot,21,24,1525,1816,1817,776,23,13,0.992,0.0604,0.0076,-0.0099,-0.803,0.1,9.01
4760,barefoot,23,21,1222,2165,2047,1107,48,15,1.0028,-0.0096,-0.0008,0.0081,1.738,0.024,9.484
4780,barefoot,15,17,850,2429,2354,1374,108,32,0.9987,0.0081,0.0112,-0.0149,1.114,0.48,9.451
4800,barefoot,13,13,645,2589,2366,1554,232,51,1.0108,-0.0079,0.0096,-0.0199,0.243,1.273,10.134
4820,barefoot,18,21,468,2673,2471,1702,466,116,0.9901,-0.0108,0.0184,-0.0224,-0.137,0.476,9.71
4840,barefoot,19,16,271,2615,2274,1789,785,238,1.0062,-0.0082,-0.0078,0.0387,0.096,1.093,9.555
4860,barefoot,11,15,130,2607,2069,1722,1251,437,0.9929,0.0135,0.0123,0.033,-0.889,-0.853,9.878
4880,barefoot,6,14,77,2364,1800,1507,1557,666,0.9978,0.0192,0.0153,0.0212,3.313,0.956,10.047
4900,barefoot,11,19,44,2044,1477,1315,1813,943,1.0115,0.0074,-0.0189,-0.0213,-0.557,1.006,9.281
4920,barefoot,16,18,27,1537,970,1088,2125,1225,1.0063,0.0314,0.0391,0.0041,-1.129,-0.764,9.311
4940,barefoot,17,18,24,1113,641,702,2322,1494,0.9983,0.0053,0.0341,0.0093,-0.179,-0.43,9.72
4960,barefoot,15,15,15,742,359,460,2238,1650,1.0089,-0.0377,-0.01,0.0109,1.152,-1.377,10.062
4980,barefoot,23,23,18,394,192,257,2065,1746,0.9921,0.0136,-0.0271,-0.0173,-0.281,-0.065,10.152
5000,barefoot,5,18,13,192,93,138,1909,1491,0.999,0.0254,-0.0017,0.0158,-1.952,0.21,8.331
5020,barefoot,10,10,26,90,50,65,1493,1180,0.9901,-0.0108,0.0018,0.037,1.101,1.495,9.165
5040,barefoot,16,12,12,45,28,33,1009,1067,0.9904,-0.0313,-0.0017,0.0226,-0.301,-0.523,9.414
5060,barefoot,21,19,9,16,16,12,631,748,1.0057,0.0269,-0.0052,0.0143,1.042,-0.419,8.331
5080,barefoot,5,13,16,16,15,15,338,520,1.0037,0.0543,0.0152,0.0051,-0.78,-0.195,9.718
5100,barefoot,25,18,9,10,24,12,17,7,1.0056,-0.0233,0.0591,-0.0113,0.344,0.862,10.526
5120,barefoot,13,17,11,17,16,23,20,13,0.9959,0.0136,0.0201,-0.0003,1.614,-0.076,8.937
5140,barefoot,11,8,13,15,13,13,9,18,1.0209,0.0132,0.0247,0.0346,0.829,0.009,9.2
5160,barefoot,10,20,14,5,6,9,11,11,0.989,-0.0221,-0.023,-0.0067,1.391,-0.786,10.731
5180,barefoot,18,19,15,24,5,15,12,14,1.0095,0.0013,0.0269,0.0078,-0.234,0.462,9.292
5200,barefoot,28,14,15,2,19,16,5,14,1.0008,-0.0271,0.0373,0.0192,0.625,-0.28,9.482
5220,barefoot,13,18,14,24,14,16,20,14,0.9965,0.014,-0.0071,0.0112,0.207,-0.557,9.841
5240,barefoot,23,13,19,13,7,13,11,22,0.988,0.0022,-0.0239,0.0268,-0.689,-0.167,9.66
5260,barefoot,12,20,14,30,13,17,12,16,0.9878,0.0065,0.0093,-0.0197,1.294,-0.212,10.228
5280,barefoot,18,8,18,15,10,28,9,19,1.015,0.022,0.013,0.0038,0.374,0.085,10.074
5300,barefoot,19,15,16,18,10,19,23,13,0.9913,-0.0183,-0.0225,-0.0086,-1.718,0.689,8.657
5320,barefoot,14,12,17,14,6,9,7,14,0.9937,0.0018,-0.0013,-0.0078,-1.407,0.993,10.377
5340,barefoot,8,12,7,10,18,25,15,14,1.0091,0.0025,0.0182,-0.0035,1.234,1.909,9.941
5360,barefoot,13,23,11,4,10,17,12,18,0.9955,0.0305,0.0021,0.0014,0.44,0.208,11.041
5380,barefoot,6,20,18,9,6,12,20,21,0.9938,-0.0372,-0.0002,0.0135,-0.71,0.527,10.305
5400,barefoot,12,14,14,11,11,13,8,17,0.9974,-0.0153,0.0013,-0.0124,0.911,1.083,9.295
5420,barefoot,23,12,9,15,20,15,13,16,0.9853,-0.0246,-0.0212,0.0073,-0.498,-0.549,10.789
5440,barefoot,16,18,18,18,2,18,6,21,0.9941,-0.017,0.0369,0.0064,-0.302,0.152,9.522
5460,barefoot,11,9,17,16,10,5,9,21,0.9929,0.0127,0.029,0.0211,0.593,0.132,9.363
5480,barefoot,10,10,16,14,22,10,13,17,0.9753,0.0106,0.0254,0.0008,0.923,1.628,9.764
5500,barefoot,11,10,12,18,19,9,14,19,1.0019,-0.015,-0.0119,0.0173,2.345,0.691,9.728
5520,barefoot,3150,2281,53,16,18,22,20,4,1.0126,0.0076,0.0286,0.0093,1.836,-0.803,9.391
5540,barefoot,3403,2678,86,22,6,10,12,13,0.9967,-0.019,-0.0167,-0.0387,0.394,-1.782,9.835
5560,barefoot,3472,2947,149,26,13,9,23,14,0.9917,-0.0019,0.0092,0.0223,-0.72,0.21,9.159
5580,barefoot,3531,3057,272,14,11,20,10,13,1.0083,-0.0321,-0.0105,-0.0045,0.555,-1.052,9.129
5600,barefoot,3410,3123,455,15,11,25,24,15,0.9905,-0.0053,-0.0087,-0.0167,0.182,-0.753,11.377
5620,barefoot,3368,3043,638,19,16,22,17,13,0.9836,0.0165,0.0051,-0.0068,2.206,-0.968,8.528
5640,barefoot,3202,2938,948,16,7,18,20,9,1.0114,0.0169,0.0241,-0.0,1.139,-0.176,10.781
5660,barefoot,2934,2759,1233,18,18,17,21,22,0.9912,-0.0017,-0.0018,-0.0109,-0.646,-0.506,9.987
5680,barefoot,2324,2375,1438,16,28,9,19,10,0.9727,0.0139,-0.006,0.0005,-1.056,1.396,8.646
5700,barefoot,1731,1943,1693,35,33,17,21,16,0.9821,-0.0103,0.0043,-0.0569,1.237,-0.12,9.13
5720,barefoot,1119,1559,1840,76,86,20,9,18,0.9944,-0.0016,-0.0296,-0.0215,1.65,0.637,8.112
5740,barefoot,530,956,2038,170,207,44,13,17,1.0076,0.0182,0.0022,0.0014,0.159,-1.509,9.106
5760,barefoot,241,578,2034,296,410,91,16,14,0.9929,0.0085,-0.0006,0.0301,-1.33,0.936,10.798
5780,barefoot,91,299,1962,602,679,166,4,22,1.0012,-0.0297,0.0007,0.0345,-0.49,-0.822,7.4
5800,barefoot,39,122,1882,948,1047,301,7,12,1.005,-0.001,0.0313,-0.006,0.08,-0.034,10.274
5820,barefoot,13,49,1679,1400,1475,485,14,16,1.0059,0.0155,0.0336,0.0034,-0.723,-0.158,9.761
5840,barefoot,12,23,1554,1855,1804,803,27,15,0.9969,0.0171,-0.0124,-0.0242,-1.539,0.767,8.672
5860,barefoot,13,17,1288,2140,2020,1207,54,24,1.0134,0.0182,0.002,0.0004,-1.357,-0.287,9.235
5880,barefoot,9,20,864,2502,2279,1441,95,21,1.002,-0.0126,-0.0219,0.0095,1.303,0.576,10.867
5900,barefoot,14,16,675,2634,2401,1691,230,58,1.0104,-0.0094,-0.025,-0.0357,-1.524,-0.102,9.212
5920,barefoot,16,12,416,2614,2402,1698,465,110,0.9956,-0.0066,-0.0248,0.0115,0.662,0.241,9.832
5940,barefoot,17,15,233,2639,2295,1713,866,220,0.9874,-0.0316,0.0333,0.007,-1.476,1.179,8.913
5960,barefoot,19,16,152,2397,2200,1822,1199,430,1.0094,-0.0307,-0.0237,-0.0304,-2.152,1.424,9.408
5980,barefoot,14,16,84,2300,1894,1455,1606,655,1.0136,0.0115,0.0132,0.0069,-1.328,-0.543,9.986
6000,barefoot,11,19,47,1920,1442,1355,1972,963,1.0048,-0.0113,-0.0193,-0.037,0.72,0.095,10.361
6020,barefoot,11,16,28,1523,989,1121,2146,1271,1.0082,-0.0223,0.0037,-0.0438,1.757,0.36,8.58
6040,barefoot,10,10,17,1186,650,730,2346,1434,1.0,0.0175,-0.0411,0.0085,-0.86,-0.276,10.404
6060,barefoot,12,7,11,718,345,463,2298,1558,0.9969,-0.0068,0.0354,0.0137,-2.423,1.652,10.666
6080,barefoot,20,9,10,390,193,254,2070,1703,0.9954,-0.01,0.0286,-0.0262,2.336,-0.362,9.301
6100,barefoot,11,19,10,196,81,125,1830,1609,1.0011,-0.0221,-0.0036,0.0,0.878,-0.11,10.323
6120,barefoot,22,22,18,92,33,74,1412,1319,1.0058,0.0182,-0.0033,0.0065,1.609,0.312,9.063
6140,barefoot,12,11,21,39,24,41,988,1061,1.009,-0.0162,-0.0146,0.0061,-1.462,0.703,10.313
6160,barefoot,10,23,7,17,15,19,634,789,0.9911,0.013,-0.0098,0.0018,0.924,-0.653,9.959
6180,barefoot,12,16,11,24,23,14,367,490,1.0013,-0.0001,0.0226,0.0288,-1.222,-0.98,9.672
6200,barefoot,9,14,12,19,16,23,22,17,0.9951,-0.0048,-0.0119,0.0086,1.622,0.138,10.555
6220,barefoot,6,15,11,15,16,4,22,13,1.0066,-0.0101,-0.0211,-0.0022,-0.356,0.795,10.59
6240,barefoot,8,17,17,15,8,17,12,15,0.9925,-0.032,0.0023,-0.0007,-0.865,-0.834,9.971
6260,barefoot,19,12,19,9,14,9,13,16,0.997,0.0163,0.0153,0.0496,-1.319,-0.228,9.66
6280,barefoot,19,14,16,21,17,17,5,12,1.0211,-0.0007,-0.0238,0.0179,1.123,-0.669,10.576
6300,barefoot,3,14,11,16,4,18,13,16,1.0105,-0.0131,-0.0017,-0.0006,-1.06,-0.781,9.749
6320,barefoot,18,2,15,24,12,11,10,19,1.0022,-0.024,-0.0338,-0.016,-1.261,-0.086,11.897
6340,barefoot,13,13,9,15,7,9,19,11,1.0013,-0.0236,0.0181,-0.0018,-0.361,-0.914,7.584
6360,barefoot,14,22,8,16,14,21,12,15,1.0031,-0.0037,0.0056,0.0139,-0.336,0.037,10.697
6380,barefoot,18,18,14,13,13,12,10,14,0.9979,0.0102,-0.0279,-0.0078,-1.097,0.705,11.006
6400,barefoot,18,11,16,14,17,17,20,11,0.9954,-0.0175,0.0228,-0.0175,1.866,0.026,9.821
6420,barefoot,19,15,11,20,21,11,16,19,1.0179,-0.0021,-0.0198,0.0168,1.317,0.674,8.193
6440,barefoot,15,17,15,20,14,5,8,9,0.9935,-0.0219,0.0035,0.0196,1.22,0.553,10.371
6460,barefoot,8,12,17,14,12,18,11,18,0.9884,0.0465,-0.006,-0.0057,-2.397,-0.301,9.809
6480,barefoot,19,17,20,17,17,9,23,11,0.9913,-0.0049,-0.009,-0.0198,-2.122,-0.503,10.369
6500,barefoot,5,13,13,18,8,10,16,5,1.0078,-0.02,-0.0404,-0.0237,-1.885,0.114,11.013
6520,barefoot,17,8,11,18,13,21,16,16,1.0214,-0.0323,0.0117,-0.0121,-0.144,-0.225,9.765
6540,barefoot,10,14,14,13,9,18,15,19,0.9774,0.0279,0.0167,0.0117,-0.076,-0.438,9.585
6560,barefoot,6,4,16,9,16,13,9,15,0.991,0.011,0.0112,-0.0084,1.247,-1.094,10.416
6580,barefoot,16,12,10,11,15,17,14,16,1.0086,0.0209,0.0107,-0.0141,-0.214,1.29,9.363
6600,barefoot,13,8,13,12,5,12,14,16,0.9982,0.0065,0.0082,0.0142,2.607,0.664,9.335
6620,barefoot,3192,2374,49,27,5,3,18,16,0.9985,-0.0138,0.0209,0.012,-0.165,2.046,9.968
6640,barefoot,3393,2669,73,3,19,8,17,7,0.9904,0.0047,0.0006,0.0171,1.814,0.114,9.988
6660,barefoot,3476,2932,157,14,15,13,15,9,0.9937,-0.0068,-0.0151,0.0285,-0.802,0.486,10.62
6680,barefoot,3495,2985,253,20,14,15,16,9,0.9987,-0.0112,0.0151,0.0024,-1.534,0.516,10.931
6700,barefoot,3423,3063,427,4,17,16,9,13,0.9978,0.0043,0.0218,-0.0166,0.223,-1.916,9.98
6720,barefoot,3402,3090,689,17,12,20,5,19,0.9964,0.0084,-0.0099,0.0235,0.538,-0.303,9.17
6740,barefoot,3270,2943,922,10,14,16,17,16,1.0011,0.0287,0.0335,-0.0029,0.171,1.154,11.654
6760,barefoot,2913,2835,1154,9,20,23,8,17,0.997,0.0147,-0.0462,-0.0054,0.679,0.238,11.833
6780,barefoot,2457,2461,1472,22,30,20,21,13,1.0014,0.0125,0.0001,-0.0295,0.855,0.765,10.716
6800,barefoot,1739,1923,1814,37,54,22,16,23,1.0175,0.0368,-0.006,-0.0116,0.236,0.241,8.505
6820,barefoot,1133,1568,1863,70,92,23,2,12,0.9881,-0.0094,0.0173,-0.026,-0.37,0.392,8.385
6840,barefoot,560,975,1978,153,202,38,14,18,0.9997,-0.0276,0.0027,-0.0141,1.452,-0.27,9.996
6860,barefoot,231,556,2007,321,362,83,12,13,0.9933,-0.004,0.0162,0.0283,-0.553,-0.342,8.514
6880,barefoot,85,275,1970,613,709,161,15,7,0.9914,-0.0263,-0.0151,-0.0152,-0.119,-1.28,10.474
6900,barefoot,37,124,1850,959,1058,308,17,8,1.0133,-0.0086,-0.0227,-0.0064,-0.206,-1.386,10.127
6920,barefoot,18,44,1710,1539,1419,575,22,17,1.0037,-0.0247,0.0071,0.0335,-1.955,0.953,10.465
6940,barefoot,11,24,1440,1832,1978,863,18,13,0.9858,0.0321,0.0387,0.0258,0.076,-0.566,9.924
6960,barefoot,16,20,1189,2216,2028,1154,55,20,0.9963,0.0073,-0.0013,0.0349,-1.054,-0.487,9.596
6980,barefoot,17,11,897,2321,2184,1478,100,31,0.9976,0.0061,0.0296,-0.0347,-0.345,0.387,8.79
7000,barefoot,13,12,679,2710,2394,1740,238,42,1.0176,-0.0172,0.0136,0.031,-0.39,0.684,8.203
7020,barefoot,16,18,443,2647,2398,1728,450,111,0.9924,0.0155,-0.0121,-0.031,0.32,0.216,11.244
7040,barefoot,7,10,261,2590,2325,1785,830,218,1.009,-0.0005,0.03,0.0031,1.702,0.557,10.567
7060,barefoot,15,18,154,2508,2076,1802,1185,422,1.0061,0.0188,0.014,-0.003,1.154,0.364,8.164
7080,barefoot,14,18,75,2261,1909,1547,1532,644,0.9968,-0.002,0.0131,0.0073,0.343,-0.671,10.05
7100,barefoot,27,18,45,2020,1345,1247,1932,988,0.9968,0.0257,-0.0026,-0.0193,1.484,1.72,9.455
7120,barefoot,9,17,20,1594,1091,1039,2167,1293,1.0114,-0.0199,0.0047,-0.014,-1.63,0.851,10.372
7140,barefoot,16,10,22,1146,626,737,2217,1515,1.0011,-0.0221,-0.0043,0.0048,1.007,-0.76,10.245
7160,barefoot,11,9,13,707,369,501,2225,1638,1.0048,-0.013,-0.0602,-0.0274,1.909,-0.457,11.452
7180,barefoot,19,19,18,396,190,263,2048,1704,0.9975,0.0222,0.0015,-0.0501,-1.193,-0.999,8.704
7200,barefoot,16,15,18,190,83,136,1827,1517,0.994,0.0262,0.0121,0.0021,0.906,0.293,9.3
7220,barefoot,18,24,13,95,44,72,1454,1367,0.9997,0.0049,-0.0164,-0.0013,-1.057,-0.366,11.059
7240,barefoot,16,20,6,40,19,37,1059,1071,1.0081,-0.0138,-0.0073,-0.002,-0.46,-1.783,9.424
7260,barefoot,6,17,15,26,19,22,633,793,1.0135,-0.0197,0.0111,-0.0053,0.102,1.554,10.689
7280,barefoot,11,15,18,12,25,19,343,487,0.9995,-0.008,0.0121,0.0096,0.083,0.537,10.85
7300,barefoot,13,14,7,15,22,14,13,14,1.0103,0.0501,-0.0423,-0.0527,-0.199,0.009,9.594
7320,barefoot,11,15,12,18,19,13,12,23,1.0134,0.0077,0.003,0.0267,-1.761,0.925,9.65
7340,barefoot,11,13,10,12,15,16,19,13,1.0028,-0.0023,0.0238,0.0143,-0.613,-0.064,10.569
7360,barefoot,27,14,5,16,15,7,16,18,1.0064,-0.0065,0.0043,-0.0368,0.869,0.636,8.783
7380,barefoot,10,17,7,17,14,10,11,13,0.9959,0.0269,0.0009,0.0228,-0.022,-0.52,8.039
7400,barefoot,18,16,17,4,18,13,17,19,1.0135,-0.0024,-0.015,0.0005,0.342,0.806,10.108
7420,barefoot,14,16,2,11,14,14,15,20,1.0074,0.005,-0.0198,0.031,-2.331,-1.002,8.713
7440,barefoot,13,7,15,19,5,6,17,8,0.9927,-0.0041,0.0492,0.0127,-0.914,1.637,9.525
7460,barefoot,22,7,8,14,15,16,23,11,0.9942,0.0459,0.0029,-0.0107,1.891,0.325,10.712
7480,barefoot,14,10,13,13,22,10,10,19,0.9981,-0.0033,0.001,-0.0294,1.827,0.627,10.738
7500,barefoot,8,5,15,14,11,8,9,16,0.9962,-0.0112,-0.0017,0.006,0.014,0.726,11.461
7520,barefoot,15,9,11,14,6,7,7,18,0.9958,0.0276,0.0342,0.0034,-1.637,0.008,10.273
7540,barefoot,10,11,7,11,14,17,12,16,0.992,-0.012,-0.0042,-0.0066,-0.249,-0.004,10.073
7560,barefoot,22,7,3,12,17,11,18,13,0.9986,-0.0031,-0.0236,0.0202,1.422,-0.397,9.059
7580,barefoot,17,11,20,14,17,15,16,9,1.0095,0.0341,0.0474,-0.0023,0.014,-0.137,9.133
7600,barefoot,14,11,8,21,19,16,27,10,0.9958,-0.0049,-0.0107,0.0149,0.97,0.169,7.174
7620,barefoot,16,6,9,13,9,15,10,18,1.0109,0.0073,0.0343,-0.004,-1.598,0.374,11.166
7640,barefoot,19,13,9,9,19,17,13,12,1.0015,0.0292,-0.0118,-0.0382,0.374,-0.351,9.3
7660,barefoot,10,8,22,13,16,10,13,5,0.9987,0.007,0.0273,-0.0027,0.69,-0.526,9.167
7680,barefoot,14,14,18,18,12,14,11,13,0.9894,0.0207,0.0153,-0.0464,-0.612,0.742,8.577
7700,barefoot,12,7,9,16,20,7,14,12,1.0031,-0.0209,0.0031,0.0196,-0.804,-1.304,9.313
7720,barefoot,3146,2314,41,10,20,25,23,7,0.9894,0.0111,-0.0069,-0.0294,1.572,1.438,9.469
7740,barefoot,3369,2730,85,15,17,16,10,16,1.0117,-0.0231,-0.0016,0.0098,-0.193,-0.403,8.879
7760,barefoot,3488,2889,141,13,11,16,14,18,1.0068,0.0023,-0.0101,0.0127,-0.317,0.289,10.012
7780,barefoot,3492,3038,277,16,18,16,14,11,0.9893,0.0188,-0.0065,0.0019,-0.381,0.803,9.465
7800,barefoot,3528,3154,437,19,11,10,18,16,0.9905,-0.0128,-0.0063,-0.0244,0.051,1.841,9.464
7820,barefoot,3394,3044,683,15,21,16,17,15,0.9912,-0.0005,-0.0253,0.0078,-1.485,-0.504,7.977
7840,barefoot,3189,2970,887,10,14,13,20,18,1.0068,0.0237,-0.0056,0.0349,-0.529,-1.211,8.879
7860,barefoot,2928,2709,1210,8,18,20,28,19,1.018,-0.0117,-0.025,0.0136,1.905,-0.358,10.61
7880,barefoot,2501,2537,1508,18,23,20,10,12,1.0028,-0.0306,0.0188,-0.0334,-0.387,-1.495,9.232
7900,barefoot,1871,1989,1802,40,65,13,10,12,0.9949,-0.0195,-0.0015,-0.0045,1.104,-1.037,8.068
7920,barefoot,1084,1528,1841,73,84,23,15,16,0.9892,0.0103,0.0337,-0.003,0.396,-1.607,8.571
7940,barefoot,532,942,1978,158,203,38,15,20,0.992,0.0067,-0.0151,0.0225,-0.045,0.471,10.95
7960,barefoot,251,559,2032,290,401,83,17,19,0.9844,-0.0135,0.0026,0.001,0.912,-0.124,10.462
7980,barefoot,90,277,1976,603,672,168,20,16,0.9977,0.0392,0.0339,-0.0042,0.969,-0.094,9.689
8000,barefoot,24,122,1773,914,1069,297,11,16,0.99,0.0318,-0.0082,0.0067,0.959,0.525,10.452
8020,barefoot,16,52,1791,1447,1523,516,17,13,1.0203,0.0014,-0.0189,0.0053,-0.601,0.355,9.155
8040,barefoot,15,27,1474,1762,1825,865,28,17,0.9851,-0.0086,-0.0152,0.0095,0.074,-1.127,10.23
8060,barefoot,13,21,1126,2171,2189,1122,53,21,1.0074,-0.021,0.0396,-0.0099,0.938,0.53,9.985
8080,barefoot,18,28,849,2434,2348,1448,98,27,0.9949,-0.0161,0.0274,-0.0168,-0.52,-0.489,9.223
8100,barefoot,15,14,632,2574,2332,1592,235,58,1.0061,0.0122,0.0309,0.0054,2.541,-1.059,9.225
8120,barefoot,10,20,401,2699,2348,1777,497,122,0.9897,-0.0239,-0.0152,-0.0316,-1.875,-0.35,9.906
8140,barefoot,13,10,249,2588,2342,1810,850,218,1.0101,-0.0163,0.0165,-0.0403,-1.218,-1.043,8.483
8160,barefoot,10,17,138,2560,2083,1760,1271,371,1.0062,-0.0054,0.0266,0.0076,-1.233,-0.693,10.683
8180,barefoot,21,18,74,2257,1806,1678,1577,657,1.0162,0.019,-0.0133,-0.0268,0.64,-1.421,10.1
8200,barefoot,15,8,39,1999,1406,1405,1978,999,0.9811,-0.0221,-0.0129,-0.0397,-0.515,-0.648,8.248
8220,barefoot,11,8,25,1573,966,1036,2198,1149,1.01,-0.0178,-0.0201,0.0181,1.107,-0.208,8.468
8240,barefoot,9,19,24,1115,670,724,2306,1430,1.0067,-0.0015,0.0113,-0.0061,-0.395,-0.449,7.907
8260,barefoot,12,17,21,705,374,499,2194,1550,0.9911,-0.0047,-0.0247,-0.0169,-0.69,0.649,8.745
8280,barefoot,16,18,7,399,189,241,1999,1652,1.0033,0.0158,-0.0055,-0.0346,-0.69,-0.381,9.83
8300,barefoot,16,23,10,189,89,134,1871,1526,1.0102,0.0277,0.0282,-0.0246,0.264,-0.398,8.166
8320,barefoot,14,14,19,88,49,63,1449,1331,1.0026,0.0133,-0.0382,0.0041,1.765,0.647,8.777
8340,barefoot,22,20,10,51,29,28,994,1017,1.0146,-0.0008,-0.0165,-0.0249,-0.337,0.522,9.437
8360,barefoot,12,15,15,14,16,28,649,779,1.0002,-0.037,-0.0055,0.006,0.406,0.156,9.435
8380,barefoot,21,11,13,23,18,9,337,493,0.9984,0.0165,-0.0012,0.0559,-0.732,-0.119,9.492
8400,barefoot,24,13,15,16,19,6,22,7,0.9858,-0.0262,-0.0225,-0.0198,-0.381,-0.657,9.124
8420,barefoot,16,18,9,3,6,7,13,12,0.9657,-0.0193,-0.0263,0.008,0.696,-1.203,11.132
8440,barefoot,9,11,16,17,13,21,12,13,1.018,-0.0022,0.01,-0.0072,0.945,0.216,9.089
8460,barefoot,17,13,15,8,15,15,12,15,0.9962,-0.0055,-0.0244,-0.0128,-0.943,0.823,10.371
8480,barefoot,8,23,12,10,6,11,7,4,1.0169,0.0301,0.0163,0.0038,-0.717,0.912,8.632
8500,barefoot,13,13,14,20,11,13,10,10,1.0019,-0.0168,0.0014,0.0235,1.746,1.845,10.12
8520,barefoot,11,18,19,18,21,9,7,12,0.9947,-0.003,0.0067,0.0116,-1.618,0.032,11.266
8540,barefoot,14,19,17,7,16,16,19,6,0.9847,0.0025,0.024,0.0101,0.594,0.178,10.188
8560,barefoot,20,14,20,15,9,4,20,15,0.9857,0.0108,0.0031,0.0202,-0.954,0.131,7.771
8580,barefoot,12,14,27,13,17,8,27,16,1.0131,-0.031,-0.0351,0.0019,0.8,0.321,10.467
8600,barefoot,24,11,11,13,18,18,6,14,1.0036,0.0097,-0.0431,-0.0049,2.068,-1.031,10.215
8620,barefoot,14,9,11,21,12,18,8,14,0.992,0.0062,0.0074,0.0483,-0.832,-0.622,9.161
8640,barefoot,9,18,10,14,7,7,16,13,0.9965,0.0079,-0.0005,0.0175,0.654,0.042,10.504
8660,barefoot,15,19,15,21,13,10,20,14,0.9965,0.008,0.0029,0.0036,-1.265,-0.455,10.527
8680,barefoot,9,12,15,12,11,23,15,11,0.992,-0.0264,-0.002,0.0376,0.577,0.662,9.301
8700,barefoot,14,21,5,17,13,19,8,12,1.0132,-0.0,-0.0122,0.0078,0.584,-1.02,10.275
8720,barefoot,24,15,19,9,8,12,15,9,0.9951,0.0184,-0.0086,0.0152,0.142,1.289,9.876
8740,barefoot,23,8,14,12,16,10,13,22,1.0036,-0.0274,-0.0089,0.024,0.854,-1.132,10.287
8760,barefoot,8,10,10,9,17,15,13,21,0.9953,0.0128,-0.0263,-0.0314,0.31,-0.112,9.878
8780,barefoot,9,18,14,15,20,10,25,18,1.0089,-0.0049,-0.0087,0.0084,0.554,-1.579,8.122
8800,barefoot,2836,1885,18,9,7,21,17,12,1.0007,-0.0045,0.0188,-0.0035,-0.022,0.216,9.974
8820,barefoot,3161,2349,44,9,18,8,8,8,0.9894,-0.0147,-0.012,0.0052,-3.136,0.47,8.671
8840,barefoot,3344,2689,86,12,13,10,11,5,1.0045,-0.006,-0.0133,0.0203,-1.707,0.11,8.668
8860,barefoot,3455,2910,146,9,21,15,14,13,1.0075,0.0179,0.0448,-0.009,0.3,-0.834,10.949
8880,barefoot,3529,2962,269,18,11,13,7,17,0.9814,-0.0072,0.045,-0.0396,0.55,0.754,9.697
8900,barefoot,3483,3101,448,3,11,13,7,12,0.9883,-0.0006,-0.0108,0.014,0.08,-0.267,9.529
8920,barefoot,3400,3043,675,9,14,16,10,22,0.998,-0.025,0.0134,-0.0157,1.639,-0.91,7.215
8940,barefoot,3164,2953,935,17,7,12,9,21,1.01,-0.0039,0.0454,-0.0001,-0.277,0.249,9.312
8960,barefoot,2866,2839,1268,25,14,15,13,18,1.0066,-0.0215,-0.0039,-0.0178,-0.614,0.434,10.031
8980,barefoot,2438,2404,1390,25,27,15,9,16,1.0007,0.0038,-0.0102,-0.0104,-0.494,0.831,9.243
9000,barefoot,1717,2042,1620,37,48,17,14,4,1.0076,-0.0065,0.0103,-0.046,1.435,-0.086,9.043
9020,barefoot,1051,1438,1895,75,102,27,18,7,1.0118,0.0196,0.0153,-0.0066,0.906,-0.589,9.92
9040,barefoot,596,931,2005,161,204,32,26,15,0.989,-0.0235,-0.0007,0.0096,2.628,-0.263,9.203
9060,barefoot,236,502,1961,335,343,75,19,11,1.0044,0.0208,-0.0281,0.0153,1.11,-0.892,8.878
9080,barefoot,99,269,1980,598,689,191,24,17,0.9968,-0.0052,0.0129,-0.0077,1.797,0.335,8.495
9100,barefoot,49,126,1707,945,1082,317,17,14,0.9981,-0.0017,0.0083,-0.0105,-0.806,-0.443,8.758
9120,barefoot,33,58,1686,1393,1414,532,18,13,1.0049,-0.0332,0.0137,0.0223,1.662,-0.242,9.756
9140,barefoot,21,30,1501,1804,1842,798,28,17,0.9977,-0.0067,0.0315,-0.0173,-0.346,0.064,10.85
9160,barefoot,19,16,1213,2167,2111,1124,52,25,1.0116,0.0039,-0.0212,0.0126,0.439,0.49,9.385
9180,barefoot,19,10,921,2514,2362,1304,105,26,1.0023,-0.0328,-0.0132,-0.031,0.22,1.038,8.842
9200,barefoot,19,20,652,2537,2447,1644,245,63,1.0087,0.0035,0.0283,0.0078,0.388,0.398,9.624
9220,barefoot,9,21,412,2648,2375,1754,453,103,1.0049,0.0048,-0.0374,0.0219,0.028,-0.947,8.455
9240,barefoot,5,10,237,2629,2331,1749,809,224,1.0061,-0.0035,-0.0153,0.0247,-0.164,0.978,9.123
9260,barefoot,9,18,157,2402,2140,1676,1260,444,1.0019,0.0317,0.004,0.0065,-0.871,1.726,9.203
9280,barefoot,8,16,80,2317,1838,1410,1587,702,1.0098,0.0079,0.0166,-0.0127,0.095,0.096,10.011
9300,barefoot,17,14,44,1990,1458,1355,2012,985,0.9989,-0.0117,0.0108,-0.0001,1.597,-0.144,9.915
